Species,Tissue,n,Gene,Value,Log10value,Log2Value
Nymphae colorata,Flower (n=3),3,F3H,0.732778,-0.135027577852796,-0.448551904453795
Nymphae colorata,Flower (n=3),3,F3'H,50.3783495,1.70224393500044,5.65473195202957
Nymphae colorata,Flower (n=3),3,F3'5'H,1.703475,0.231335764295609,0.768480774765823
Nymphae colorata,Flower (n=3),3,FLS H,1000000,6,19.9315685693242
Nymphae colorata,Flower (n=3),3,FLS F,15.2797,1.18411482743184,3.93354431281854
Nymphae colorata,Flower (n=3),3,FLS Y,1000000,6,19.9315685693242
Nymphae colorata,Flower (n=3),3,DFR N,22.1472,1.34531882756066,4.46905240985469
Nymphae colorata,Flower (n=3),3,DFR D,1000000,6,19.9315685693242
Nymphae colorata,Flower (n=3),3,DFR A,1000000,6,19.9315685693242
Nymphae colorata,Flower (n=3),3,DFR *,1000000,6,19.9315685693242
Nymphae colorata,Flower (n=3),3,F3'H/F3H,68.74981,1.83727150226862,6.10328382132204
Nymphae colorata,Flower (n=3),3,F3'5'H/F3H,2.324680872,0.36636334215412,1.2170326792386
Nymphae colorata,Flower (n=3),3,DFR/FLS,1.449452542,0.161204000246423,0.535508097426823
Thinopyrum intermedium ,Leaf (n=27),27,F3H,0.0896253,-1.0475693776212,-3.47995014686352
Thinopyrum intermedium ,Leaf (n=27),27,F3'H,2.4102478,0.382061695122694,1.26918147900837
Thinopyrum intermedium ,Leaf (n=27),27,F3'5'H,0.4284246,-0.368125600077523,-1.22288677334479
Thinopyrum intermedium ,Leaf (n=27),27,FLS H,1000000,6,19.9315685693242
Thinopyrum intermedium ,Leaf (n=27),27,FLS F,0.0357204,-1.44708368649066,-4.80710795380648
Thinopyrum intermedium ,Leaf (n=27),27,FLS Y,1000000,6,19.9315685693242
Thinopyrum intermedium ,Leaf (n=27),27,DFR N,0.123934,-0.90680953311749,-3.01235606477468
Thinopyrum intermedium ,Leaf (n=27),27,DFR D,1000000,6,19.9315685693242
Thinopyrum intermedium ,Leaf (n=27),27,DFR A,1000000,6,19.9315685693242
Thinopyrum intermedium ,Leaf (n=27),27,DFR *,1000000,6,19.9315685693242
Thinopyrum intermedium ,Flower (n=11),11,F3H,0.0290858,-1.53631898650521,-5.10354120398053
Thinopyrum intermedium ,Flower (n=11),11,F3'H,2.5374015,0.404389192266388,1.34335181905852
Thinopyrum intermedium ,Flower (n=11),11,F3'5'H,3.46656,0.539898721466395,1.79350473123298
Thinopyrum intermedium ,Flower (n=11),11,FLS H,1000000,6,19.9315685693242
Thinopyrum intermedium ,Flower (n=11),11,FLS F,0.2664485,-0.574386720322887,-1.90807138357081
Thinopyrum intermedium ,Flower (n=11),11,FLS Y,1000000,6,19.9315685693242
Thinopyrum intermedium ,Flower (n=11),11,DFR N,0.01,-2,-6.64385618977472
Thinopyrum intermedium ,Flower (n=11),11,DFR D,1000000,6,19.9315685693242
Thinopyrum intermedium ,Flower (n=11),11,DFR A,1000000,6,19.9315685693242
Thinopyrum intermedium ,Flower (n=11),11,DFR *,1000000,6,19.9315685693242
Thinopyrum intermedium ,Root (n=12),12,F3H,0.01,-2,-6.64385618977472
Thinopyrum intermedium ,Root (n=12),12,F3'H,4.18242115,0.621427762080889,2.06433834179948
Thinopyrum intermedium ,Root (n=12),12,F3'5'H,5.3017041,0.724415485124106,2.40645615240523
Thinopyrum intermedium ,Root (n=12),12,FLS H,1000000,6,19.9315685693242
Thinopyrum intermedium ,Root (n=12),12,FLS F,0.09820815,-1.00785246992021,-3.34801343532956
Thinopyrum intermedium ,Root (n=12),12,FLS Y,1000000,6,19.9315685693242
Thinopyrum intermedium ,Root (n=12),12,DFR N,0.7589445,-0.119789981976769,-0.39793370661468
Thinopyrum intermedium ,Root (n=12),12,DFR D,1000000,6,19.9315685693242
Thinopyrum intermedium ,Root (n=12),12,DFR A,1000000,6,19.9315685693242
Thinopyrum intermedium ,Root (n=12),12,DFR *,1000000,6,19.9315685693242
Thinopyrum intermedium ,Stem (n=15),15,F3H,0.0519369,-1.28452397602116,-4.26709628450112
Thinopyrum intermedium ,Stem (n=15),15,F3'H,0.0324031,-1.48941343891403,-4.94772434763133
Thinopyrum intermedium ,Stem (n=15),15,F3'5'H,1.0195912,0.008426078456769,0.027990826755268
Thinopyrum intermedium ,Stem (n=15),15,FLS H,1000000,6,19.9315685693242
Thinopyrum intermedium ,Stem (n=15),15,FLS F,0.0324031,-1.48941343891403,-4.94772434763133
Thinopyrum intermedium ,Stem (n=15),15,FLS Y,1000000,6,19.9315685693242
Thinopyrum intermedium ,Stem (n=15),15,DFR N,0.795422,-0.099402401347938,-0.330207629736986
Thinopyrum intermedium ,Stem (n=15),15,DFR D,1000000,6,19.9315685693242
Thinopyrum intermedium ,Stem (n=15),15,DFR A,1000000,6,19.9315685693242
Thinopyrum intermedium ,Stem (n=15),15,DFR *,1000000,6,19.9315685693242
Thinopyrum intermedium ,Leaf (n=27),27,F3'H/F3H,26.89249353,1.42963107281134,4.74913162609594
Thinopyrum intermedium ,Leaf (n=27),27,F3'5'H/F3H,4.780174794,0.679443777507879,2.25706337339982
Thinopyrum intermedium ,Leaf (n=27),27,DFR/FLS,3.469558012,0.540274153414672,1.79475188916968
Thinopyrum intermedium ,Flower (n=11),11,F3'H/F3H,87.23849782,1.94070817875327,6.44689302297819
Thinopyrum intermedium ,Flower (n=11),11,F3'5'H/F3H,119.1839317,2.07621770805176,6.89704593547981
Thinopyrum intermedium ,Flower (n=11),11,DFR/FLS,0.037530705,-1.42561327745385,-4.7357847988184
Thinopyrum intermedium ,Root (n=12),12,F3'H/F3H,418.242115,2.62142776208089,8.70819453157421
Thinopyrum intermedium ,Root (n=12),12,F3'5'H/F3H,530.17041,2.72441548512411,9.05031234217995
Thinopyrum intermedium ,Root (n=12),12,DFR/FLS,7.727917693,0.888062487933022,2.95007972868028
Thinopyrum intermedium ,Stem (n=15),15,F3'H/F3H,0.623893609,-0.204889463143879,-0.680628063964041
Thinopyrum intermedium ,Stem (n=15),15,F3'5'H/F3H,19.63134496,1.29295005450052,4.29508711133142
Thinopyrum intermedium ,Stem (n=15),15,DFR/FLS,24.54771303,1.39001103761108,4.61751671804379
Miscanthus sinensis,Leaf (n=26),26,F3H,1.418053,0.151692462989073,0.503911454586063
Miscanthus sinensis,Leaf (n=26),26,F3'H,41.012829,1.61291972726637,5.35800335680423
Miscanthus sinensis,Leaf (n=26),26,F3'5'H,17.848,1.25158955727578,4.15769051358205
Miscanthus sinensis,Leaf (n=26),26,FLS H,1000000,6,19.9315685693242
Miscanthus sinensis,Leaf (n=26),26,FLS F,7.01433,0.84598619408151,2.8103053060062
Miscanthus sinensis,Leaf (n=26),26,FLS Y,1000000,6,19.9315685693242
Miscanthus sinensis,Leaf (n=26),26,DFR N,0.8881035,-0.051536418388563,-0.171200276154837
Miscanthus sinensis,Leaf (n=26),26,DFR D,1000000,6,19.9315685693242
Miscanthus sinensis,Leaf (n=26),26,DFR A,1000000,6,19.9315685693242
Miscanthus sinensis,Leaf (n=26),26,DFR *,1000000,6,19.9315685693242
Miscanthus sinensis,Stem (n=7),7,F3H,0.2906849,-0.536577527627583,-1.78247196411127
Miscanthus sinensis,Stem (n=7),7,F3'H,48.455583,1.68534382321142,5.59859099587088
Miscanthus sinensis,Stem (n=7),7,F3'5'H,15.2617,1.18360291235399,3.93184376773923
Miscanthus sinensis,Stem (n=7),7,FLS H,1000000,6,19.9315685693242
Miscanthus sinensis,Stem (n=7),7,FLS F,5.42678,0.734542215770987,2.44009642345046
Miscanthus sinensis,Stem (n=7),7,FLS Y,1000000,6,19.9315685693242
Miscanthus sinensis,Stem (n=7),7,DFR N,0.416928,-0.379938937598203,-1.26212983114913
Miscanthus sinensis,Stem (n=7),7,DFR D,1000000,6,19.9315685693242
